"","Date","meanPortre1","max_y1","min_y1","min_51","max_951","IBEX1","Means1","meanPortre2","max_y2","min_y2","min_52","max_952","IBEX2","Means2","meanPortre3","max_y3","min_y3","min_53","max_953","IBEX3","Means3"
"1",2005-05-31,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2005-06-30,1.03348260250443,1.04088105784237,1.02257899232062,1.02483018707422,1.03903490467847,1.0339765863142,1.02255999056691,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"3",2005-07-31,1.04148462264975,1.04865857251372,1.0256483423963,1.0296783287505,1.04851578426193,1.02342858858019,1.02797786764551,1.01051507983539,1.01225023856257,1.00483704187078,1.00736796613417,1.01203938256122,0.989452002265995,1.00466508808863,1,1,1,1,1,1,1
"4",2005-08-31,1.09972874788943,1.10580312940003,1.09268695348205,1.09360817546028,1.10498390535672,1.1038569850527,1.08899517755,1.05571144929917,1.07167552454988,1.05269058061521,1.05269058061521,1.06369348692453,1.06988039873851,1.06739277652257,1.04310190512101,1.04621036239996,1.04131634555259,1.04141009897652,1.04621036239996,1.08042839647251,1.06113240500734
"5",2005-09-30,1.08980450251728,1.09555455061942,1.08367857250536,1.08368290470533,1.09538681223226,1.07425611095984,1.08478025952955,1.05365072371957,1.06631777897488,1.0505079623032,1.0505079623032,1.06044811557302,1.04027952464564,1.06317785850211,1.03949515487781,1.04332057915524,1.03431901296602,1.03468649767745,1.04309172118409,1.05082752237965,1.05645655162569
"6",2005-10-31,1.12048757049184,1.1396670515451,1.11286313716014,1.11305520703366,1.13222701987891,1.0803549566312,1.10732598533235,1.07365615858243,1.08650005727082,1.07046068628509,1.07063943481645,1.08055620488712,1.046378370317,1.08097538515697,1.06395138265028,1.07047599964466,1.05978727822449,1.06008077563446,1.0690604329551,1.05692636805101,1.07312841642035
"7",2005-11-30,1.14322372063742,1.1627564471896,1.13411149151984,1.13482137272965,1.15544423289288,1.09703464069147,1.13207826020534,1.09135466743682,1.10435980794088,1.08791887479279,1.08828125387986,1.0984918084371,1.06305805437728,1.10151878986734,1.08625567202163,1.09279716198149,1.07883547404414,1.08167466237611,1.09095267424887,1.07360605211128,1.099954903724
"8",2005-12-31,1.2226731169766,1.25398364811808,1.21300746693897,1.21493463999057,1.23971955959431,1.13154202334879,1.21814964703513,1.18059716439866,1.18724960369367,1.17652927378176,1.17658013215949,1.18466188996536,1.09756543703459,1.19116844655828,1.1727479337139,1.19952738800001,1.15873434268651,1.15884628534442,1.19809030669187,1.1081134347686,1.17207570220931
"9",2006-01-31,1.26019470997291,1.3064279904615,1.25087233515029,1.25102847843534,1.28469874818254,1.1888532517409,1.26671805438974,1.22150838592898,1.22857941067705,1.21233156650963,1.21427934958517,1.2272965357921,1.1548766654267,1.24267859541024,1.20660775016603,1.23177035157126,1.19407784942689,1.19427364019435,1.2283318405043,1.16542466316071,1.21084522154049
"10",2006-02-28,1.30130405698078,1.36921445260022,1.28801059247406,1.2888681056063,1.33575394169774,1.19852897132087,1.32877566969616,1.26948373376102,1.27498589669267,1.25806092549116,1.26079632040234,1.27441734224401,1.16455238500667,1.29633241263511,1.23795723947826,1.25525134304833,1.23012053385267,1.23091925506862,1.24998357693072,1.17510038274068,1.24420271685673
