"","Date","meanmse1","meanrsqrd1","meanmse2","meanrsqrd2","meanmse3","meanrsqrd3"
"1",2005-05-31,0.0140116735999914,0.812663898995896,NA,NA,NA,NA
"2",2005-06-30,0.0145658926406033,0.603445589140061,0.00779392225599337,0.790573188857971,NA,NA
"3",2005-07-31,0.00791255980398455,0.549414159985489,0.00433799097444202,0.751225521008283,0.00772623989824215,0.562521127274864
"4",2005-08-31,0.0151457136914351,0.094017377379677,0.0123954095610293,0.252815846549084,0.0167524223212446,-0.0151718860192812
"5",2005-09-30,0.0106309655714876,0.445404853039377,0.00916573788534677,0.521946396493693,0.0106660143226595,0.444452933463734
"6",2005-10-31,0.109076279803665,-0.10347569692312,0.110799725990823,-0.119728325682239,0.112656364595688,-0.137136067316387
"7",2005-11-30,0.00662577662675404,0.450301031287482,0.0049537281248447,0.58759209388435,0.00631513874986321,0.473205265736571
"8",2005-12-31,0.023613172676586,-0.0663737979181459,0.0219176877964558,0.00480983070925866,0.0236383815476548,-0.0770072851077605
"9",2006-01-31,0.0125363813260503,0.0373622687972985,0.0120093161509237,0.0772991000973198,0.0158782478816907,-0.222282869177244
"10",2006-02-28,0.00887631033413063,0.248048419626046,0.00788014885571374,0.339581224062787,0.00922388504670494,0.232470097804857
"11",2006-03-31,0.00682122300039947,0.0856546485665807,0.00528472898012663,0.297700195434195,0.00649073404658795,0.141155714822401
"12",2006-04-30,0.0114168995721714,0.307159750651795,0.00831702045949541,0.495780337413009,0.00859305112177454,0.480076908206216
"13",2006-05-31,0.00484845376276924,0.297892772868441,0.00355724317158854,0.486688950434337,0.00501453289893182,0.27780739045243
"14",2006-06-30,0.00430463273994211,-0.0218063828801582,0.00281993264609868,0.331465470955927,0.00445595339314495,-0.0552919976664465
"15",2006-07-31,0.00461993260546634,0.0330711363715385,0.00414342816011915,0.130057533170533,0.00568292916158731,-0.194566404678323
"16",2006-08-31,0.0154731634326518,-0.182463191605126,0.0140593750259382,-0.110997212483904,0.015667572136229,-0.23908728846078
"17",2006-09-30,0.0200615840402583,-0.00975684621090379,0.0210382790812863,-0.0200464496536044,0.0226201256125613,-0.100890759338554
"18",2006-10-31,0.00935018749974471,0.0283584648075268,0.0090158825417811,-0.0861318847460788,0.0101701349877298,-0.24243392461991
"19",2006-11-30,0.00490357910553461,0.179388957663036,0.00396814984030914,0.34266596799049,0.00514342268091643,0.179033807032626
"20",2006-12-31,0.011064173649087,-0.037824676414187,0.012096632671426,-0.107988392332647,0.0140139406489583,-0.291803241517929
"21",2007-01-31,0.00656962868574835,0.229785168762408,0.00541156596761741,0.374984046577236,0.00614779033274173,0.278815152070833
"22",2007-02-28,0.00370626734850961,-0.0112739194949991,0.00331236716735867,0.108896250595318,0.00464335771378526,-0.248013924939404
"23",2007-03-31,0.00601387125528488,0.227423575821499,0.00451862515513282,0.412946534188541,0.00567070519334979,0.277487495308352
"24",2007-04-30,0.0073015441642473,-0.0045875189800031,0.00620630751101281,0.156901971753354,0.00823033413411818,-0.112388744211051
"25",2007-05-31,0.00687295483019713,0.236935785374735,0.00555882959555434,0.381434059525721,0.00640600529120182,0.287675749462819
"26",2007-06-30,0.00587057966515359,0.0942653050262717,0.00500256961158653,0.225230558081307,0.00562397385961907,0.127007901348032
"27",2007-07-31,0.00752180408285923,0.093728814007418,0.00552733703619071,0.343411143015857,0.00613168429181018,0.267296028934067
"28",2007-08-31,0.00841562468946147,-0.025096438898313,0.00684921640806839,0.171398614160691,0.0077406867564467,0.0740995678340922
"29",2007-09-30,0.166510226928091,-0.106001899186399,0.175609843959937,-0.116633217560282,0.173871747497533,-0.105203254098732
"30",2007-10-31,0.0123989859153122,0.169423198668047,0.0120968653910854,0.206862699604132,0.0131205584941685,0.150918540835015
"31",2007-11-30,0.0229689236121731,-0.0073762190807661,0.0189071257463891,0.171604041003048,0.0196682085521261,0.133727002282479
"32",2007-12-31,0.0326004539722555,-0.0436555605242269,0.0258270400604294,0.176667141371406,0.02656440712325,0.143743386634537
"33",2008-01-31,0.0106135323047088,0.111813962817432,0.00986486233152292,0.0665823418041949,0.0105870523447385,-0.030727988518213
"34",2008-02-29,0.00700087240850295,0.00199107735579299,0.00688229109978981,0.104301213473513,0.00744948230859464,0.0269228068004488
"35",2008-03-31,0.00685707400200126,0.117463567519184,0.00599260929080441,0.227179706068913,0.00787116092538808,0.0495959112206271
"36",2008-04-30,0.00932809235742479,-0.0365571256980955,0.00835629959544686,0.0283700369811308,0.00881795699330317,0.0104478063270086
"37",2008-05-31,0.025120445600167,-0.147165863813357,0.0221524793518283,0.00219066728876997,0.0203622723106946,0.0811178708381107
"38",2008-06-30,0.022515754131477,-0.221449068445523,0.0182136554336047,0.0189651490418906,0.0175113303817358,0.0348522152720385
"39",2008-07-31,0.00815696573350201,0.194557944995479,0.00823269442557219,0.17502532599031,0.00914413529469689,0.0984704645623331
"40",2008-08-31,0.0373703380607256,-0.0314442944954208,0.0340392909840221,0.0572984691819964,0.031588510279885,0.120137144711866
"41",2008-09-30,0.0497057774595679,-0.145802947702627,0.0436563541625818,-0.0094785042402857,0.0406735943250727,0.053898318116065
"42",2008-10-31,0.0190748652137623,-0.169016320241487,0.0170741716642804,-0.0467619202236613,0.0166240312227117,-0.0238012266673714
"43",2008-11-30,0.018638455365477,-0.0380097003989293,0.0173151217414085,0.0329261425058598,0.0175291329508222,0.0198352806818095
"44",2008-12-31,0.0125137891522814,0.154074652659441,0.0122415672919874,0.170305374995862,0.0110414279579284,0.270089073468274
